,Player,Nationality,Position,Club,League,League Rating,League Top Scorer,League Top Assist Provider,League Best Goalkeeper,League Best Player,UCL,UCL Rating,UCL Top Scorer,UCL Top Assist Provider,UCL Best Goalkeeper,UCL Best Player,Continental Cup,Continental Cup Rating,Continental Cup Top Scorer,Continental Cup Top Assist Provider,Continental Cup Best Goalkeeper,Continental Cup Best Player,WC,WC Rating,WC Top Scorer,WC Top Assist Provider,WC Best Goalkeeper,WC Best Player,Other Rating
0,Ousmane Demb+//3//Q-l+//3//Q-,France,Forward,Paris Saint+AC0-Germain,1,7.75,1,0,0,1,1,7.63,0,0,0,1,,,,,,,,,,,,,7.69
1,Lamine Yamal,Spain,Forward,Barcelona,1,7.79,0,1,0,0,0,7.69,0,0,0,0,,,,,,,,,,,,,7.93
2,Vitinha,Portugal,Midfielder,Paris Saint+AC0-Germain,1,7.47,0,0,0,0,1,7.5,0,0,0,0,,,,,,,,,,,,,7.52
3,Mohamed Salah,Egypt,Forward,Liverpool,1,7.78,1,1,0,1,0,7.43,0,0,0,0,,,,,,,,,,,,,7.38
4,Raphinha,Brazil,Forward,Barcelona,1,7.8,0,0,0,1,0,8.24,1,1,0,0,,,,,,,,,,,,,7.65
5,Achraf Hakimi,Morocco,Defender,Paris Saint+AC0-Germain,1,7.76,0,0,0,0,1,7.55,0,0,0,0,,,,,,,,,,,,,7.57
6,Kylian Mbapp+//3//Q-,France,Forward,Real Madrid,0,7.7,1,0,0,0,0,7.28,0,0,0,0,,,,,,,,,,,,,7.59
7,Cole Palmer,England,Forward,Chelsea,0,7.63,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,7.34
8,Gianluigi Donnarumma,Italy,Goalkeeper,Paris Saint+AC0-Germain,1,6.92,0,0,0,0,1,7.1,0,0,1,0,,,,,,,,,,,,,7.02
9,Nuno Mendes,Portugal,Defender,Paris Saint+AC0-Germain,1,7.29,0,0,0,0,1,7.38,0,0,0,0,,,,,,,,,,,,,7.43
10,Pedri,Spain,Midfielder,Barcelona,1,7.59,0,0,0,0,0,7.43,0,0,0,0,,,,,,,,,,,,,7.27
11,Khvicha Kvaratskhelia,Georgia,Forward,Napoli  Paris Saint+AC0-Germain,1,7.36,0,0,0,0,1,7.59,0,0,0,0,,,,,,,,,,,,,7.66
12,Harry Kane,England,Forward,Bayern Munich,1,7.73,1,0,0,1,0,7.7,0,0,0,0,,,,,,,,,,,,,7.36
13,D+//3//Q-sir+//3//Q- Dou+//3//Q-,France,Midfielder,Paris Saint+AC0-Germain,1,7.32,0,0,0,0,1,7.37,0,0,0,0,,,,,,,,,,,,,7.49
14,Viktor Gy+//3//Q-keres,Sweden,Forward,Sporting CP,1,8,1,0,0,1,0,7.36,0,0,0,0,,,,,,,,,,,,,8.14
15,Vin+//3//Q-cius J+//3//Q-nior,Brazil,Forward,Real Madrid,0,7.37,0,0,0,0,0,7.49,0,0,0,0,,,,,,,,,,,,,7.18
16,Robert Lewandowski,Poland,Forward,Barcelona,1,7.27,0,0,0,0,0,7.41,0,0,0,0,,,,,,,,,,,,,7.16
17,Scott McTominay,Scotland,Midfielder,Manchester United  Napoli,1,7.22,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,6.96
18,Jo+//3//Q-o Neves,Portugal,Midfielder,Paris Saint+AC0-Germain,1,7.45,0,0,0,0,1,7.36,0,0,0,0,,,,,,,,,,,,,7.13
19,Lautaro Mart+//3//Q-nez,Argentina,Forward,Inter Milan,0,7.2,0,0,0,0,0,7.31,0,0,0,0,,,,,,,,,,,,,7.29
20,Serhou Guirassy,Guinea,Forward,Borussia Dortmund,0,7.26,0,0,0,0,0,7.44,1,0,0,0,,,,,,,,,,,,,7.48
21,Alexis Mac Allister,Argentina,Midfielder,Liverpool,1,7.24,0,0,0,0,0,7.54,0,0,0,0,,,,,,,,,,,,,6.91
22,Jude Bellingham,England,Midfielder,Real Madrid,0,7.45,0,0,0,0,0,7.37,0,0,0,0,,,,,,,,,,,,,7.75
23,Fabi+//3//Q-n Ruiz,Spain,Midfielder,Paris Saint+AC0-Germain,1,7.27,0,0,0,0,1,7.17,0,0,0,0,,,,,,,,,,,,,7.38
24,Denzel Dumfries,Netherlands,Defender,Inter Milan,0,7.03,0,0,0,0,0,7.18,0,0,0,0,,,,,,,,,,,,,7.26
25,Erling Haaland,Norway,Forward,Manchester City,0,7.27,0,0,0,0,0,7.41,0,0,0,0,,,,,,,,,,,,,7.43
26,Declan Rice,England,Midfielder,Arsenal,0,7.36,0,0,0,0,0,7.33,0,0,0,0,,,,,,,,,,,,,7.56
27,Virgil van Dijk,Netherlands,Defender,Liverpool,1,7.28,0,0,0,0,0,7.31,0,0,0,0,,,,,,,,,,,,,7.46
28,Florian Wirtz,Germany,Midfielder,Bayer Leverkusen,0,7.68,0,0,0,0,0,7.84,0,0,0,0,,,,,,,,,,,,,7.53
29,Michael Olise,France,Forward,Bayern Munich,1,7.91,0,1,0,0,0,7.62,0,0,0,0,,,,,,,,,,,,,7.4
